worker,layer,physical_path,row_count
deepseek,raw,deepseek\raw\tushare\stock_basic.csv,5512
deepseek,raw,deepseek\raw\tushare\corp_actions\dividend_akshare.csv,5675
deepseek,raw,deepseek\raw\tushare\corp_actions\dividend_sample.csv,3
deepseek,raw,deepseek\raw\tushare\index_membership\000300_cons.csv,300
deepseek,raw,deepseek\raw\tushare\index_membership\000300_SH.csv,6000
deepseek,raw,deepseek\raw\tushare\index_membership\000300_SH_daily.csv,5178
deepseek,raw,deepseek\raw\tushare\index_membership\000300_weight_history.csv,300
deepseek,raw,deepseek\raw\tushare\index_membership\000852_SH.csv,6000
deepseek,raw,deepseek\raw\tushare\index_membership\000852_SH_daily.csv,5178
deepseek,raw,deepseek\raw\tushare\index_membership\000905_SH.csv,6000
deepseek,raw,deepseek\raw\tushare\index_membership\000905_SH_daily.csv,5178
deepseek,raw,deepseek\raw\tushare\st_events\namechange.csv,10000
deepseek,raw,deepseek\raw\tushare\st_events\namechange_sample.csv,7017
deepseek,raw,deepseek\raw\tushare\suspension_events\suspend_d.csv,5000
deepseek,raw,deepseek\raw\tushare\suspension_events\suspend_d_full.csv,127114
deepseek,staging,deepseek\staging\dividend\dividend.csv,5675
deepseek,staging,deepseek\staging\index_000300\index_000300.csv,6000
deepseek,staging,deepseek\staging\index_000852\index_000852.csv,6000
deepseek,staging,deepseek\staging\index_000905\index_000905.csv,6000
deepseek,staging,deepseek\staging\namechange\namechange.csv,3731
deepseek,staging,deepseek\staging\namechange\namechange_tushare_raw.csv,8201
deepseek,staging,deepseek\staging\stock_basic\stock_basic.csv,5512
deepseek,staging,deepseek\staging\suspend_d\suspend_d.csv,5000
coder,raw,coder\raw\akshare\index_futures\index_futures_sample_raw.csv,400
coder,raw,coder\raw\akshare\limit_events\limit_events_sample_raw.csv,90
coder,raw,coder\raw\akshare\margin_trading\margin_sample_raw.csv,17
coder,raw,coder\raw\akshare\market_breadth\market_breadth_sample_raw.csv,73
coder,raw,coder\raw\akshare\northbound_flow\northbound_sample_raw.csv,300
coder,raw,coder\raw\akshare\restricted_unlock\restricted_unlock_sample_raw.csv,109
coder,raw,coder\raw\akshare\seal_amount\dt_pool.csv,180
coder,raw,coder\raw\akshare\seal_amount\zt_pool.csv,1055
coder,raw,coder\raw\tushare\index_futures\fut_daily_tushare.csv,18990
coder,raw,coder\raw\tushare\limit_events\stk_limit_tushare.csv,15140
coder,raw,coder\raw\tushare\limit_events\top_list_tushare.csv,177
coder,raw,coder\raw\tushare\margin_trading\margin_detail.csv,12602
coder,raw,coder\raw\tushare\margin_trading\margin_detail_tushare.csv,8600
coder,raw,coder\raw\tushare\northbound_flow\hk_hold.csv,2648
coder,raw,coder\raw\tushare\northbound_flow\hk_hold_tushare.csv,1787
coder,raw,coder\raw\tushare\restricted_unlock\share_float.csv,6000
coder,raw,coder\raw\tushare\restricted_unlock\share_float_akshare_combined.csv,23149
coder,raw,coder\raw\tushare\restricted_unlock\share_float_akshare_full.csv,5522
coder,raw,coder\raw\tushare\restricted_unlock\share_float_historical.csv,686
coder,raw,coder\raw\tushare\restricted_unlock\share_float_tushare.csv,6000
coder,staging,coder\staging\index_futures.parquet,400
coder,staging,coder\staging\limit_events.parquet,90
coder,staging,coder\staging\margin_trading.parquet,17
coder,staging,coder\staging\market_breadth_detail.parquet,61
coder,staging,coder\staging\market_breadth_summary.parquet,12
coder,staging,coder\staging\northbound_flow.parquet,300
coder,staging,coder\staging\restricted_unlock.parquet,109
coder,staging,coder\staging\index_futures\index_futures_staging.csv,400
coder,staging,coder\staging\limit_events\limit_events_staging.csv,90
coder,staging,coder\staging\margin_trading\margin_staging.csv,17
coder,staging,coder\staging\market_breadth\market_breadth_staging.csv,1
coder,staging,coder\staging\northbound_flow\northbound_staging.csv,300
coder,staging,coder\staging\restricted_unlock\restricted_unlock_staging.csv,109
mimo,raw,mimo\raw\akshare\energy\sc_crude\sc_crude.csv,1964
mimo,raw,mimo\raw\akshare\equity\nasdaq\nasdaq.csv,5617
mimo,raw,mimo\raw\akshare\equity\spx\spx.csv,5620
mimo,raw,mimo\raw\akshare\fx\usdcny_v2\usdcny_v2.csv,1731
mimo,raw,mimo\raw\akshare\fx_all\fx_all.csv,25
mimo,raw,mimo\raw\akshare\gold_futures\gold_futures.csv,4459
mimo,raw,mimo\raw\akshare\gold_sge\gold_sge.csv,2437
mimo,raw,mimo\raw\akshare\rates\ust_10y\ust_10y.csv,1689
mimo,raw,mimo\raw\akshare\rates\ust_2y\ust_2y.csv,1689
mimo,raw,mimo\raw\akshare\shfe_copper\shfe_copper.csv,5186
mimo,raw,mimo\raw\akshare\shfe_gold\shfe_gold.csv,4459
mimo,raw,mimo\raw\akshare\shfe_silver\shfe_silver.csv,3400
mimo,raw,mimo\raw\akshare\silver_futures\silver_futures.csv,3400
mimo,raw,mimo\raw\akshare\silver_sge\silver_sge.csv,1589
mimo,raw,mimo\raw\akshare\usdcnh_boc\usdcnh_boc.csv,1731
mimo,raw,mimo\raw\cboe\gvz\gvz.csv,4177
mimo,raw,mimo\raw\cboe\ovx\ovx.csv,4177
mimo,raw,mimo\raw\cboe\vix\vix.csv,9175
mimo,raw,mimo\raw\cboe\vix9d\vix9d.csv,3853
mimo,raw,mimo\raw\cboe\vxn\vxn.csv,4185
mimo,raw,mimo\raw\fred\brent_crude\brent_crude.csv,10159
mimo,raw,mimo\raw\fred\copper\copper.csv,411
mimo,raw,mimo\raw\fred\dxy\dxy.csv,5300
mimo,raw,mimo\raw\fred\fed_funds\fed_funds.csv,861
mimo,raw,mimo\raw\fred\usdcny\usdcny.csv,11821
mimo,raw,mimo\raw\fred\ust_10y\ust_10y.csv,16782
mimo,raw,mimo\raw\fred\ust_2y\ust_2y.csv,13022
mimo,raw,mimo\raw\fred\ust_30y\ust_30y.csv,12837
mimo,raw,mimo\raw\fred\vix\vix.csv,9477
mimo,raw,mimo\raw\fred\wti_crude\wti_crude.csv,10518
mimo,staging,mimo\staging\brent_crude\brent_crude.parquet,10159
mimo,staging,mimo\staging\cboe_vix\cboe_vix.parquet,9175
mimo,staging,mimo\staging\copper_fred\copper_fred.parquet,411
mimo,staging,mimo\staging\dxy\dxy.parquet,5300
mimo,staging,mimo\staging\fed_funds\fed_funds.parquet,861
mimo,staging,mimo\staging\fred_vix\fred_vix.parquet,9477
mimo,staging,mimo\staging\gold_futures\gold_futures.parquet,4459
mimo,staging,mimo\staging\gvz\gvz.parquet,4177
mimo,staging,mimo\staging\nasdaq\nasdaq.parquet,5617
mimo,staging,mimo\staging\ovx\ovx.parquet,4177
mimo,staging,mimo\staging\sc_crude\sc_crude.parquet,1964
mimo,staging,mimo\staging\silver_futures\silver_futures.parquet,3400
mimo,staging,mimo\staging\spx\spx.parquet,5620
mimo,staging,mimo\staging\usdcny_akshare\usdcny_akshare.parquet,1731
mimo,staging,mimo\staging\usdcny_fred\usdcny_fred.parquet,11821
mimo,staging,mimo\staging\ust_10y_akshare\ust_10y_akshare.parquet,1689
mimo,staging,mimo\staging\ust_10y_fred\ust_10y_fred.parquet,16782
mimo,staging,mimo\staging\ust_2y_akshare\ust_2y_akshare.parquet,1689
mimo,staging,mimo\staging\ust_2y_fred\ust_2y_fred.parquet,13022
mimo,staging,mimo\staging\ust_30y_fred\ust_30y_fred.parquet,12837
mimo,staging,mimo\staging\vix9d\vix9d.parquet,3853
mimo,staging,mimo\staging\vxn\vxn.parquet,4185
mimo,staging,mimo\staging\wti_crude\wti_crude.parquet,10518
review,raw,review\raw\akshare\analyst\analyst_cninfo.csv,391
review,raw,review\raw\akshare\analyst\analyst_ths.csv,3
review,raw,review\raw\akshare\event_explainability\event_explainability_holder.csv,889
review,raw,review\raw\akshare\event_explainability\event_explainability_lhb.csv,6562
review,raw,review\raw\akshare\event_explainability\event_explainability_share_change.csv,45
review,raw,review\raw\akshare\fundamental\fundamental_bs.csv,119
review,raw,review\raw\akshare\fundamental\fundamental_is.csv,122
review,raw,review\raw\akshare\minute\minute_daily.csv,78
review,raw,review\raw\akshare\minute\minute_etf_1min.csv,0
review,raw,review\raw\akshare\minute\minute_rv_1min.csv,0
review,raw,review\raw\akshare\news\news.csv,10
review,raw,review\raw\akshare\news\news_cctv.csv,11
review,raw,review\raw\akshare\news\news_dividend.csv,15
review,raw,review\raw\akshare\news\news_stock_news.csv,10
review,raw,review\raw\akshare\news\news_suspend.csv,8
review,staging,review\staging\analyst\analyst_cninfo_staged.csv,391
review,staging,review\staging\analyst\analyst_ths_staged.csv,3
review,staging,review\staging\event_explainability\event_holder_staged.csv,889
review,staging,review\staging\event_explainability\event_lhb_staged.csv,6562
review,staging,review\staging\event_explainability\event_share_change_staged.csv,45
review,staging,review\staging\fundamental\fundamental_bs_staged.csv,119
review,staging,review\staging\fundamental\fundamental_is_staged.csv,122
review,staging,review\staging\minute\minute_daily_staged.csv,78
review,staging,review\staging\news\news_cctv_staged.csv,11
review,staging,review\staging\news\news_dividend_staged.csv,15
review,staging,review\staging\news\news_stock_staged.csv,10
review,staging,review\staging\news\news_suspend_staged.csv,8
